uuid,company,role,level,yearsOfExperience,location,baseSalary,bonus,stockGrant,totalCompensation,workArrangement,isAnomaly,anomalyType,if_prediction,anomaly_score,fraud_probability,predicted_anomaly
9e5ffec6-265c-43de-a5e9-f8a5e76e7644,Netflix,Software Engineer,Mid,6,Remote,157000,20000,38000,215000,On-site,False,none,1,-0.427778,0.0774,False
49e7dbf9-c500-4554-af7c-955462166371,Netflix,Software Engineer,Principal,16,"Chicago, IL",363000,87000,250000,700000,Hybrid,False,none,1,-0.477755,0.2193,False
7383a7af-01d0-4d79-bad7-5aa0c49c2e90,Google,Software Engineer,Junior,2,"Seattle, WA",124000,8000,14000,146000,Remote,False,none,1,-0.436482,0.1021,False
37b9ec4e-09ff-4f46-90e6-a730c3f22c45,Meta,DevOps Engineer,Principal,21,"London, UK",283000,84000,265000,632000,Remote,False,none,1,-0.482096,0.2316,False
eb347486-5356-4d08-8476-d1bbe780390f,Uber,Software Engineer,Mid,4,"Toronto, Canada",129000,14000,2556000,2699000,Remote,True,unrealistic_stock_grant,-1,-0.702172,0.8564,True
89bcaed6-b5e0-42e3-9817-ff0f325a1816,Microsoft,DevOps Engineer,Junior,1,Remote,97000,8000,6000,111000,On-site,False,none,1,-0.412976,0.0354,False
5e1d9432-6d47-4f66-858a-1ce9d6468734,Microsoft,Software Engineer,Senior,7,Remote,198000,20000,61000,279000,Hybrid,False,none,1,-0.450449,0.1418,False
1ef7dfe3-5c8d-4df1-b1a7-a563596e8878,Amazon,ML Engineer,Intern,0,"Austin, TX",52000,2000,2000,56000,Remote,False,none,1,-0.464391,0.1813,False
3552af42-b963-4eb5-8ea2-fa04e4b19ad4,Amazon,DevOps Engineer,Mid,3,"San Francisco, CA",183000,16000,35000,234000,Remote,False,none,1,-0.437155,0.104,False
657577f8-a4f7-4894-9ed6-9f0d4e9658f8,Meta,DevOps Engineer,Staff,15,Remote,27000,0,1000,28000,Hybrid,True,senior_low_salary,1,-0.514098,0.3225,False
a1755b85-a8c5-4d9e-883e-0fd8f1a5fc38,Uber,Data Scientist,Staff,11,"San Francisco, CA",345000,63000,270000,678000,Hybrid,False,none,1,-0.505838,0.299,False
efa97694-2630-439b-a2b2-700ae6000f3b,Amazon,Software Engineer,Mid,6,"London, UK",143000,20000,19000,182000,Hybrid,False,none,1,-0.446046,0.1293,False
5db907d8-ed1a-46f0-ba81-e863c780df7f,Amazon,ML Engineer,Mid,6,"Seattle, WA",189000,22000,23000,234000,Hybrid,False,none,1,-0.450329,0.1414,False
9a676360-56a4-4ec1-9e7e-94572749ace9,Meta,Software Engineer,Junior,1,Remote,99000,8000,9000,116000,Hybrid,False,none,1,-0.429,0.0809,False
378cf7af-17ad-4ff2-8d27-e9f7e9e6a863,Google,Software Engineer,Senior,6,"Boston, MA",226000,42000,74000,342000,Hybrid,False,none,1,-0.454747,0.154,False
f5b4957a-3d15-4b53-8236-1212bd17ab20,Amazon,Software Engineer,Staff,15,"Bangalore, India",112000,389000,57000,558000,Hybrid,True,impossible_combination,-1,-0.614742,0.6082,True
b0c166e3-c5be-4fe0-947a-c931bf07ae13,Amazon,Data Scientist,Mid,4,"Bangalore, India",57000,8000,7000,72000,Hybrid,False,none,1,-0.465102,0.1834,False
6f710f5b-7988-4113-a1f9-ec6b6f3a9381,Amazon,Product Manager,Staff,12,"Chicago, IL",264000,60000,169000,493000,Remote,False,none,1,-0.472166,0.2034,False
c2119fc1-474a-4730-adcc-fcf485230824,Amazon,Software Engineer,Junior,1,"Toronto, Canada",87000,8000,6000,101000,On-site,False,none,1,-0.456451,0.1588,False
1df79d24-d740-44f3-8c7e-762514a61601,Meta,Data Scientist,Staff,11,"London, UK",245000,37000,175000,457000,Hybrid,False,none,1,-0.469649,0.1963,False
80b1d872-a157-4846-9cda-14d2b0b2f745,Amazon,ML Engineer,Junior,3,"Toronto, Canada",102000,5000,10000,117000,On-site,False,none,1,-0.446931,0.1318,False
4b1e3564-f87b-46d4-acce-0bff5ab80f3c,Google,Software Engineer,Mid,6,"London, UK",140000,13000,28000,181000,On-site,False,none,1,-0.426683,0.0743,False
bb034d39-7889-433e-afea-7267042fdf6b,ServiceNow,Product Manager,Mid,4,Remote,162000,18000,34000,214000,On-site,False,none,1,-0.420095,0.0556,False
a7615e26-fe9f-4b30-bf64-5da300c5a02c,Google,Data Scientist,Principal,16,"Toronto, Canada",280000,93000,219000,592000,On-site,False,none,1,-0.505707,0.2986,False
3d242d6f-50f3-4c1a-b088-50871c7839dc,Uber,Engineering Manager,Intern,1,"San Francisco, CA",97000,1000,0,98000,On-site,False,none,1,-0.458187,0.1637,False
68adff81-d4d7-457c-aba2-a289d98a80c6,Amazon,ML Engineer,Junior,1,"Boston, MA",139000,8000,18000,165000,Remote,False,none,1,-0.433547,0.0938,False
0bf60ab0-a276-42a2-855c-2c4b902340db,Meta,Engineering Manager,Principal,22,"Bangalore, India",167000,41000,184000,392000,Remote,False,none,1,-0.504375,0.2949,False
71f3925d-c236-4c4e-aae9-9a01ec3c97b8,Google,Data Scientist,Mid,5,"San Francisco, CA",188000,21000,46000,255000,Hybrid,False,none,1,-0.457363,0.1614,False
ad355dc1-a48c-4842-b670-d829635e8e37,Uber,Product Manager,Junior,3,"Toronto, Canada",96000,6000,744000,846000,Hybrid,True,unrealistic_stock_grant,-1,-0.611981,0.6004,True
8826779e-c08b-4f3b-95df-ab79403d679d,Google,Product Manager,Principal,22,"New York, NY",439000,132000,369000,940000,Hybrid,False,none,1,-0.516219,0.3285,False
40eff36d-8a2e-4bbe-8509-6c381d853850,Amazon,Software Engineer,Principal,24,"Seattle, WA",388000,127000,279000,794000,Remote,False,none,-1,-0.548216,0.4193,True
69b4b9fe-3208-4305-8506-3c22f88837ad,ServiceNow,ML Engineer,Junior,2,"New York, NY",155000,8000,23000,186000,Remote,False,none,1,-0.420182,0.0558,False
9c285f88-1bac-4d76-b3b3-e16ed527d0d3,Netflix,Data Scientist,Junior,3,"Bangalore, India",42000,3000,2000,47000,Hybrid,False,none,1,-0.453185,0.1495,False
10f36a0f-75c9-4199-8e09-4bb9fb87f2f4,Uber,Engineering Manager,Intern,0,"Boston, MA",80000,2000,1000,83000,Hybrid,False,none,1,-0.458288,0.164,False
9892cd9e-f2b7-440f-888c-533e7c688337,Google,Product Manager,Senior,9,"San Francisco, CA",263000,39000,73000,375000,On-site,False,none,1,-0.437346,0.1046,False
c5e6ff95-c586-4926-a534-af1b0a16a1f6,Amazon,Software Engineer,Intern,0,"San Francisco, CA",88000,3000,3000,94000,On-site,False,none,1,-0.454895,0.1544,False
65f9742e-0745-491b-ba0c-ec584b2e9533,ServiceNow,ML Engineer,Staff,18,"London, UK",274000,67000,183000,524000,On-site,False,none,1,-0.466481,0.1873,False
4f4bce2b-b37c-4426-835a-1ced957008d3,ServiceNow,ML Engineer,Staff,17,"Boston, MA",318000,67000,145000,530000,Hybrid,False,none,1,-0.478118,0.2203,False
8949e045-6966-4091-a082-7a73974e5587,Microsoft,ML Engineer,Intern,1,Remote,79000,4000,1000,84000,Remote,False,none,1,-0.426587,0.074,False
2d166153-3a94-4479-b8b2-4c3870faab1e,Google,Product Manager,Junior,3,"Austin, TX",112000,6000,15000,133000,Remote,False,none,1,-0.439876,0.1117,False
c25cf86a-9b8d-4aa8-be9c-8cdfafa0a2e6,ServiceNow,Software Engineer,Intern,1,"London, UK",61000,0,1000,62000,Hybrid,False,none,1,-0.454873,0.1543,False
1aeb45b4-608c-4448-88d3-9571195a6969,Meta,Data Scientist,Junior,1,"Boston, MA",116000,11000,11000,138000,Hybrid,False,none,1,-0.429915,0.0835,False
74646e80-7d1c-49dc-a831-ac805b07a106,Meta,ML Engineer,Principal,16,"London, UK",342000,108000,255000,705000,On-site,False,none,1,-0.464206,0.1808,False
e80aaec1-db00-465c-b81e-091ac0284ba3,Amazon,ML Engineer,Senior,12,"New York, NY",271000,33000,89000,393000,On-site,False,none,1,-0.444062,0.1236,False
73e4f301-cacf-43c6-9042-13a1929094e4,Google,Software Engineer,Senior,7,"Austin, TX",215000,37000,86000,338000,Remote,False,none,1,-0.45925,0.1668,False
8c649352-59e3-4101-bc73-55cc4be6614c,Uber,Data Scientist,Principal,23,"Bangalore, India",130000,44000,126000,300000,Hybrid,False,none,-1,-0.545269,0.411,True
15bcc4f4-8e81-4e96-881a-5f75d413dea8,ServiceNow,Data Scientist,Senior,9,"New York, NY",230000,25000,57000,312000,On-site,False,none,1,-0.454723,0.1539,False
e2827388-e8fa-40b3-80b3-5cfc4a4009f1,Uber,Data Scientist,Staff,12,"Chicago, IL",280000,63000,124000,467000,Remote,False,none,1,-0.489293,0.252,False
79c0eaa2-5e69-4e07-9a66-7b5a0ebf0413,Meta,Product Manager,Staff,14,"Seattle, WA",305000,65000,234000,604000,Remote,False,none,1,-0.477094,0.2174,False
51c14527-32c1-4434-9e8c-b68003dfc0f8,Amazon,DevOps Engineer,Staff,13,"Toronto, Canada",200000,47000,159000,406000,On-site,False,none,1,-0.484228,0.2377,False
866c2040-13d8-4d4d-ae64-e2c2f5c6777d,Uber,DevOps Engineer,Staff,13,"Seattle, WA",309000,61000,228000,598000,On-site,False,none,1,-0.478711,0.222,False
ace62800-ff11-4f52-a9d8-ccf50eda9d50,Microsoft,Product Manager,Staff,14,"New York, NY",357000,71000,277000,705000,Hybrid,False,none,1,-0.476441,0.2156,False
900cf0ff-d8b9-4a5d-8c90-287919d3505c,Google,Engineering Manager,Principal,23,"New York, NY",448000,118000,350000,916000,Hybrid,False,none,1,-0.502635,0.2899,False
db5e11be-87d5-4e7f-a2ad-e93c0414e779,Netflix,DevOps Engineer,Junior,3,"Boston, MA",112000,6000,8000,126000,Remote,False,none,1,-0.420501,0.0567,False
c7b679c9-ac8c-4611-9d57-bf4e0dbeb97c,Netflix,ML Engineer,Staff,13,"New York, NY",379000,68000,167000,614000,Hybrid,False,none,1,-0.472935,0.2056,False
89166a80-5200-46cc-9b45-ba5d171fbcd7,Amazon,ML Engineer,Principal,21,"Chicago, IL",444000,127000,313000,884000,Hybrid,False,none,1,-0.516163,0.3283,False
e258e3c2-4f1c-4327-aeb1-c71cb47a0c9e,Google,Engineering Manager,Staff,14,"Seattle, WA",352000,63000,184000,599000,Hybrid,False,none,1,-0.488231,0.249,False
7c41904d-0ebe-4472-a2d1-a01db7bf2b0b,Google,Software Engineer,Junior,2,Remote,113000,6000,9000,128000,Remote,False,none,1,-0.429569,0.0825,False
1f507645-18ee-4e84-b86a-06bdd1192890,Google,DevOps Engineer,Principal,23,"New York, NY",360000,73000,321000,754000,Remote,False,none,1,-0.484994,0.2398,False
46cdca93-6471-4206-870f-57095ae219f9,Microsoft,ML Engineer,Staff,11,"Toronto, Canada",265000,45000,151000,461000,Remote,False,none,1,-0.471973,0.2029,False
f4f18f9d-16fd-44f0-a6ce-82880077c9e6,ServiceNow,Product Manager,Junior,1,"Chicago, IL",117000,11000,16000,144000,Hybrid,False,none,1,-0.431959,0.0893,False
ac82c3a8-5513-487f-b960-0d5e5532ba54,ServiceNow,Data Scientist,Staff,14,"Bangalore, India",107000,22000,45000,174000,Remote,False,none,1,-0.498212,0.2774,False
6e9ad9e5-06d4-4490-a1df-ccd24b0fb475,Google,Software Engineer,Principal,17,"Toronto, Canada",302000,71000,269000,642000,Remote,False,none,1,-0.505404,0.2978,False
5008d97b-631a-4142-a443-fe7fa70fd617,Google,Software Engineer,Senior,6,"London, UK",206000,33000,67000,306000,Remote,False,none,1,-0.443344,0.1216,False
61ab0cd0-f69d-4608-acae-fe9c1a7fd129,Meta,DevOps Engineer,Staff,17,"Seattle, WA",291000,45000,206000,542000,Remote,False,none,1,-0.487365,0.2466,False
8098462b-1cec-4cd8-859d-3c946ed77c44,Meta,ML Engineer,Senior,14,"Austin, TX",21000,0,0,21000,Hybrid,True,senior_low_salary,1,-0.520285,0.34,False
ae546600-bf7a-47ce-99c5-7711fffc460b,Microsoft,Engineering Manager,Mid,5,"Boston, MA",207000,19000,28000,254000,On-site,False,none,1,-0.421975,0.0609,False
4c3dfdc8-67fa-4463-9bfc-93357f9b88eb,Amazon,Product Manager,Senior,6,Remote,230000,29000,100000,359000,Remote,False,none,1,-0.457029,0.1604,False
5e5dccd4-4a75-4aa2-8d7e-2e05a9b4089a,Amazon,Data Scientist,Mid,5,Remote,138000,18000,22000,178000,Hybrid,False,none,1,-0.45124,0.144,False
2c82d830-437b-49a9-b8a8-a490135a732e,Amazon,Product Manager,Senior,10,"Toronto, Canada",168000,33000,51000,252000,On-site,False,none,1,-0.461,0.1717,False
2becc8ed-4d6f-49db-a078-fd5feb0e7a30,Meta,Data Scientist,Intern,0,"London, UK",50000,1000,0,51000,Remote,False,none,1,-0.466317,0.1868,False
79ff15ca-4295-48f7-af7f-8076090bcb78,Microsoft,DevOps Engineer,Principal,16,"Seattle, WA",347000,98000,280000,725000,On-site,False,none,1,-0.467508,0.1902,False
26db2c20-a42a-4572-8779-a936c2c98969,Google,Software Engineer,Intern,1,"San Francisco, CA",65000,2000,2000,69000,On-site,False,none,1,-0.435388,0.099,False
482560b1-36ef-4db8-8506-e066b3ea1f41,Netflix,Software Engineer,Intern,1,"New York, NY",68000,3000,2000,73000,On-site,False,none,1,-0.430166,0.0842,False
d713e797-2bc0-44da-bc13-c16d512f8f0a,Uber,Product Manager,Intern,1,"Toronto, Canada",47000,1000,2000,50000,Hybrid,False,none,1,-0.479788,0.2251,False
cab41c93-d687-44de-b593-22765170b0c0,Google,Software Engineer,Junior,1,"Boston, MA",122000,9000,16000,147000,Hybrid,False,none,1,-0.43764,0.1054,False
34c5307e-5b9b-4df6-aa9e-eefaf0de4e84,ServiceNow,Software Engineer,Staff,16,"San Francisco, CA",335000,61000,210000,606000,Hybrid,False,none,1,-0.487027,0.2456,False
410138c4-2d4c-4f58-ba5b-8760763fdd56,Meta,Engineering Manager,Senior,8,Remote,240000,34000,87000,361000,Remote,False,none,1,-0.431442,0.0878,False
a2c6c4b2-c870-43cf-953d-9c432de812c6,Meta,Data Scientist,Junior,3,"New York, NY",130000,12000,17000,159000,On-site,False,none,1,-0.417207,0.0474,False
71087cfb-149b-4060-ac4b-47433336102b,Netflix,Engineering Manager,Intern,1,"Chicago, IL",77000,2000,3000,82000,Remote,False,none,1,-0.427384,0.0763,False
74678725-e7a4-41c4-a7be-4317a443948e,Microsoft,ML Engineer,Principal,23,"Boston, MA",475000,147000,564000,1186000,Hybrid,False,none,-1,-0.568409,0.4767,True
07830801-29b9-42d6-bee4-fd284ef99cb7,Uber,Software Engineer,Junior,3,"San Francisco, CA",150000,9000,19000,178000,Remote,False,none,1,-0.450711,0.1425,False
4a666694-303f-4536-b1c3-916a59582b73,Uber,Data Scientist,Mid,5,"Toronto, Canada",107000,15000,23000,145000,Hybrid,False,none,1,-0.484462,0.2383,False
e0dfb5a7-037d-4568-b25f-96dd346994aa,Uber,DevOps Engineer,Staff,10,Remote,273000,55000,198000,526000,Remote,False,none,1,-0.486301,0.2436,False
2879cf2c-d175-4b4f-b563-3622c1cd7576,Meta,DevOps Engineer,Staff,15,"Chicago, IL",263000,55000,2259000,2577000,Hybrid,True,unrealistic_stock_grant,-1,-0.64042,0.6811,True
25f3834c-e208-4f4a-a1af-cbf09e30b0f6,Amazon,Software Engineer,Junior,18,"Bangalore, India",62000,8000,7000,77000,On-site,True,experience_level_mismatch,1,-0.478497,0.2214,False
b0eb69d6-602d-4a5c-a129-319c6a4251ec,Netflix,Data Scientist,Senior,10,"London, UK",192000,23000,89000,304000,Remote,False,none,1,-0.443799,0.1229,False
03b164a1-e586-4e4b-92c0-c63ae849b2fd,Microsoft,Data Scientist,Staff,12,"Boston, MA",292000,72000,194000,558000,On-site,False,none,1,-0.471674,0.202,False
05f9d1d9-f473-4413-92a1-bb5afffacfc4,Microsoft,Data Scientist,Staff,17,"London, UK",245000,61000,179000,485000,On-site,False,none,1,-0.465288,0.1839,False
dd42ff4c-8777-482e-b311-cfc26c36ef21,ServiceNow,Engineering Manager,Senior,10,"Boston, MA",273000,37000,134000,444000,Hybrid,False,none,1,-0.450373,0.1416,False
b34f8d9c-b981-45aa-b85e-91c6489f2660,Microsoft,DevOps Engineer,Intern,0,"London, UK",54000,2000,0,56000,Remote,False,none,1,-0.445578,0.1279,False
bba36aaf-cffd-4ada-90f6-df51c9437350,Uber,Software Engineer,Principal,1,"Toronto, Canada",120000,12000,14000,146000,Hybrid,True,experience_level_mismatch,1,-0.481526,0.23,False
b5b0ecdd-3e9f-4b13-afd4-ac9cb731f2f8,Amazon,Data Scientist,Junior,2,"New York, NY",128000,8000,18000,154000,Remote,False,none,1,-0.432895,0.0919,False
e12e69df-bbd3-4f8d-a5ef-cdc831f9f7c6,Meta,Software Engineer,Junior,3,"Austin, TX",115000,9000,13000,137000,Remote,False,none,1,-0.436318,0.1016,False
1e990a07-6fdc-49bf-b772-1c5aed54acc2,ServiceNow,DevOps Engineer,Staff,16,"London, UK",242000,46000,100000,388000,Remote,False,none,1,-0.467888,0.1913,False
d3d9a018-82a4-4022-bdea-c25de077278a,Microsoft,Product Manager,Intern,0,"London, UK",55000,2000,1000,58000,Hybrid,False,none,1,-0.435098,0.0982,False
9603689d-0df0-4ccf-8662-8022ca5eb130,Microsoft,Product Manager,Staff,13,"Bangalore, India",113000,18000,83000,214000,Hybrid,False,none,1,-0.472897,0.2055,False
43a2eceb-81c4-4c7a-b3b9-be43176d5c9d,Amazon,DevOps Engineer,Mid,3,"San Francisco, CA",166000,23000,35000,224000,Remote,False,none,1,-0.440869,0.1146,False
c337221b-5db8-4862-9f1a-8530dcc27f20,Uber,Data Scientist,Staff,12,"London, UK",229000,48000,122000,399000,Hybrid,False,none,1,-0.473037,0.2059,False
60dc41e6-c253-47f3-9623-c31cacfb51f2,ServiceNow,Software Engineer,Staff,14,"Boston, MA",314000,49000,179000,542000,Hybrid,False,none,1,-0.475351,0.2125,False
d25aba64-b98f-4f05-b250-ffd00daf461a,Google,Engineering Manager,Mid,5,"Seattle, WA",206000,22000,40000,268000,Hybrid,False,none,1,-0.445761,0.1285,False
9d506d07-4e76-45c3-a9f1-a97212812edc,Meta,Data Scientist,Mid,3,"Bangalore, India",61000,7000,15000,83000,Remote,False,none,1,-0.45213,0.1465,False
25010b2b-e861-4045-89b3-5f1379b85127,ServiceNow,Software Engineer,Principal,18,"Toronto, Canada",282000,57000,179000,518000,Hybrid,False,none,1,-0.501059,0.2855,False
a756382f-936a-425e-9ca5-7187e921cd8d,Amazon,Product Manager,Principal,22,"Bangalore, India",160000,37000,171000,368000,On-site,False,none,1,-0.504439,0.295,False
24868526-1b98-4f93-8c41-a47bb4624cce,Microsoft,DevOps Engineer,Senior,7,"Bangalore, India",75000,9000,16000,100000,Remote,False,none,1,-0.457351,0.1614,False
2ca45d75-6adb-497a-a439-80856cde2dfc,Uber,Product Manager,Junior,2,"Toronto, Canada",90000,6000,7000,103000,Hybrid,False,none,1,-0.465787,0.1853,False
0a643d78-9d91-4464-957a-1bdb2990e4cd,Uber,Product Manager,Intern,0,"London, UK",61000,2000,1000,64000,Remote,False,none,1,-0.457317,0.1613,False
f89fc292-3e22-4297-bc00-0c5b9a8e5ef8,Uber,Data Scientist,Intern,0,"Seattle, WA",73000,0,4000,77000,On-site,False,none,1,-0.475802,0.2137,False
2ca291fb-9e00-476f-ba0a-42fdc3710c1f,ServiceNow,ML Engineer,Junior,1,"Austin, TX",112000,9000,7000,128000,On-site,False,none,1,-0.427357,0.0762,False
3ac3eb6a-a5db-4547-bd80-9977c251cb1c,Uber,ML Engineer,Staff,17,"London, UK",270000,51000,147000,468000,On-site,False,none,1,-0.467713,0.1908,False
caf0f7d0-8006-45a4-a8d0-567a09ff8a7c,ServiceNow,DevOps Engineer,Intern,0,"Bangalore, India",20000,1000,0,21000,Hybrid,False,none,1,-0.471625,0.2019,False
997652eb-159c-408e-aac0-14219ed6d65c,Google,DevOps Engineer,Staff,16,"Chicago, IL",271000,59000,175000,505000,Hybrid,False,none,1,-0.462402,0.1757,False
4be34138-923d-40f4-bca6-11287e796be4,Netflix,Engineering Manager,Mid,3,"London, UK",166000,20000,24000,210000,Remote,False,none,1,-0.416698,0.0459,False
000fa076-c3e8-4498-bc6f-1588abedfe37,Amazon,DevOps Engineer,Senior,10,"San Francisco, CA",239000,25000,50000,314000,On-site,False,none,1,-0.461996,0.1745,False
df999e16-61d3-4467-93fc-6581885ee73a,Meta,Engineering Manager,Principal,16,"Bangalore, India",172000,48000,204000,424000,Hybrid,False,none,1,-0.498242,0.2775,False
55b91594-0d2d-4b77-a93e-69f9bdf03957,Google,Engineering Manager,Principal,20,"Chicago, IL",438000,125000,411000,974000,Remote,False,none,1,-0.505195,0.2972,False
a0d11736-5f74-48a5-ac44-8cfa4e7539d6,Microsoft,Software Engineer,Principal,22,"Toronto, Canada",277000,63000,172000,512000,On-site,False,none,1,-0.496869,0.2736,False
3bce2882-53e8-4ea6-a3df-abd018607c51,Uber,Data Scientist,Mid,3,"Seattle, WA",185000,22000,34000,241000,On-site,False,none,1,-0.455148,0.1551,False
868ae917-9e4c-4af9-aa07-c6a0c04aaf7c,Netflix,Software Engineer,Junior,3,"Bangalore, India",44000,2000,5000,51000,On-site,False,none,1,-0.436974,0.1035,False
6d02e15b-1c80-4410-b825-f56ff70b0afd,ServiceNow,Product Manager,Junior,3,"London, UK",102000,9000,8000,119000,On-site,False,none,1,-0.417799,0.0491,False
9bac07c8-ab35-40de-bb91-f5ec6e4c9e1f,ServiceNow,Software Engineer,Principal,22,"San Francisco, CA",469000,127000,372000,968000,Remote,False,none,-1,-0.536593,0.3863,True
4a329f19-4787-4da7-9b2d-9d84137c2f25,ServiceNow,Product Manager,Intern,0,"Boston, MA",62000,3000,3000,68000,Hybrid,False,none,1,-0.447172,0.1325,False
22e56c1a-f897-41c1-b872-5a2061c00a8d,Netflix,ML Engineer,Junior,3,"New York, NY",153000,9000,19000,181000,On-site,False,none,1,-0.406883,0.0181,False
f28b4ce3-e582-4dae-8ddb-10803ef67c8a,Microsoft,Engineering Manager,Staff,11,"Austin, TX",321000,53000,209000,583000,Remote,False,none,1,-0.484149,0.2374,False
da2432b7-0f7f-4a48-91ec-cf5325e39943,Google,Data Scientist,Principal,25,"London, UK",316000,68000,240000,624000,On-site,False,none,1,-0.486295,0.2435,False
66026e4c-7127-493c-883d-bd2f83fab3e5,Uber,Product Manager,Senior,7,"Boston, MA",240000,29000,106000,375000,Remote,False,none,1,-0.47039,0.1984,False
e3b6575d-df7e-42ac-b3e7-c5d86695ec34,Netflix,ML Engineer,Mid,6,"Seattle, WA",200000,26000,22000,248000,Hybrid,False,none,1,-0.435642,0.0997,False
bd5a63e2-927f-4666-941c-50ca8bcbfa8c,ServiceNow,DevOps Engineer,Senior,8,"London, UK",172000,19000,48000,239000,Hybrid,False,none,1,-0.447464,0.1333,False
a2361c80-671e-4be4-af0c-93a927707e04,Amazon,Engineering Manager,Senior,10,"Bangalore, India",97000,18000,44000,159000,On-site,False,none,1,-0.46499,0.183,False
2fc3f3e6-82fe-40df-aac9-4c273ff80a10,Google,ML Engineer,Staff,17,Remote,328000,80000,177000,585000,Remote,False,none,1,-0.473478,0.2071,False
5ce0c2be-3e6a-4af4-8926-7a33df9fc323,Meta,DevOps Engineer,Staff,11,"Chicago, IL",252000,38000,172000,462000,Hybrid,False,none,1,-0.461143,0.1721,False
cb3bbd25-a920-439a-95fd-72a6324fbedf,Microsoft,Data Scientist,Intern,0,"Seattle, WA",58000,1000,0,59000,Hybrid,False,none,1,-0.467161,0.1892,False
d7774dd5-a02f-415f-a08e-a7407f1f7546,Microsoft,Product Manager,Mid,3,"London, UK",157000,19000,34000,210000,On-site,False,none,1,-0.410188,0.0275,False
4ad24775-fef7-4ae8-b5b9-303a29507ac9,Amazon,Data Scientist,Senior,9,"Seattle, WA",208000,41000,86000,335000,Remote,False,none,1,-0.466361,0.1869,False
6ec1827b-544b-449c-85ef-4fa45fe3836e,ServiceNow,Software Engineer,Mid,4,"London, UK",146000,18000,34000,198000,Hybrid,False,none,1,-0.440599,0.1138,False
72a98648-ddaf-4bce-8225-08c4142ed4b4,ServiceNow,DevOps Engineer,Staff,10,"San Francisco, CA",318000,77000,239000,634000,Remote,False,none,1,-0.496024,0.2712,False
bb8c71f1-e699-4bf5-87c8-f655444fbaae,Microsoft,Product Manager,Mid,3,"Austin, TX",166000,21000,2594000,2781000,Remote,True,unrealistic_stock_grant,-1,-0.695712,0.8381,True
e308ea67-8dae-4edf-b308-7c1469f4b854,Microsoft,Engineering Manager,Senior,12,"Boston, MA",266000,37000,123000,426000,On-site,False,none,1,-0.429976,0.0836,False
89a1230d-d949-4c40-a674-90009a7fe943,Uber,DevOps Engineer,Senior,12,"London, UK",167000,18000,75000,260000,Hybrid,False,none,1,-0.463938,0.1801,False
8fdaf197-0b4f-4d6f-935f-2c4f5315a3ad,Google,Data Scientist,Intern,0,"New York, NY",62000,3000,3000,68000,On-site,False,none,1,-0.441201,0.1155,False
07662da8-3faf-458f-b7cd-b28c4f49cb31,Google,Data Scientist,Principal,22,"Toronto, Canada",283000,65000,260000,608000,Remote,False,none,1,-0.521625,0.3438,False
493d7c02-0e16-47b5-805e-407f4bccc643,ServiceNow,DevOps Engineer,Mid,5,Remote,134000,15000,32000,181000,Hybrid,False,none,1,-0.438844,0.1088,False
5464774b-c628-4aa2-b605-68cf6b11f4f3,Microsoft,Product Manager,Intern,0,"London, UK",55000,0,1000,56000,Remote,False,none,1,-0.450808,0.1428,False
74894485-33bd-43eb-aead-fb4c1a5410a8,Uber,Software Engineer,Principal,18,"Bangalore, India",161000,45000,180000,386000,On-site,False,none,1,-0.518078,0.3338,False
